statistic,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
EXPV,0.3509947083094953,0.21488233416533287,0.3831957301718406,0.5192003711110735
MACE,0.014895591647331785,0.01396751740139215,0.013689095127610212,0.010487238979118334
MAPE,0.32084026588309844,0.39984218938701555,0.0886426265978272,0.05740947926715443
MSLL,-7.4377540730498595,-8.64380584129383,-5.738128998857427,-11.208504588005892
NLL,0.6864655675688363,1.0310176846557157,1.182066398791103,1.072067753201777
R2,0.35022094914372415,0.21301765120372107,0.3830565017331501,0.5191850575433288
RMSE,658.3387783832201,3415.606185895174,192.43683063773645,36152.35602485159
Rho,0.48879475465739236,0.3720176931035533,0.5998522164153923,0.7104044354305451
Rho_p,5.738576043580131e-53,1.1040290256235548e-29,2.3160620913892135e-85,2.4298274905306508e-133
SMSE,0.649779050856276,0.7869823487962789,0.6169434982668499,0.48081494245667133
ShapiroW,0.9862693072340276,0.9876299325873421,0.9957061595107557,0.9952122737936706
